Index,Fixture,Date,Promotion,Match type,Event,WON rating
5848,Kofi Kingston vs. Randy Orton,09/15/2019,World Wrestling Entertainment,Singles,WWE Clash Of Champions 2019 ,***
5849,Erick Rowan vs. Roman Reigns,09/15/2019,World Wrestling Entertainment,No Disqualification,WWE Clash Of Champions 2019 ,**3/4
5850,Braun Strowman & Seth Rollins vs. Dolph Ziggler & Robert Roode,09/15/2019,World Wrestling Entertainment,Tag Team,WWE Clash Of Champions 2019 ,**1/4
5851,Shinsuke Nakamura vs. The Miz,09/15/2019,World Wrestling Entertainment,Singles,WWE Clash Of Champions 2019 ,**1/4
5852,Braun Strowman vs. Seth Rollins,09/15/2019,World Wrestling Entertainment,Singles,WWE Clash Of Champions 2019 ,***1/2
5853,Drew Gulak vs. Humberto Carrillo vs. Lince Dorado,09/15/2019,World Wrestling Entertainment,Triple Threat,WWE Clash Of Champions 2019 Kickoff ,***1/2
5854,Big E & Xavier Woods vs. Dash Wilder & Scott Dawson,09/15/2019,World Wrestling Entertainment,Tag Team,WWE Clash Of Champions 2019 ,**3/4
5855,Becky Lynch vs. Sasha Banks,09/15/2019,World Wrestling Entertainment,Singles,WWE Clash Of Champions 2019 ,***3/4
5856,Baron Corbin vs. Chad Gable,09/16/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1373 ,***1/2
5857,Cesaro vs. Rey Mysterio,09/16/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1373 ,
5858,Bianca Belair vs. Candice LeRae vs. Io Shirai vs. Mia Yim,09/18/2019,World Wrestling Entertainment,Fatal Four Way,WWE NXT #491 ,****
5859,Arturo Ruas vs. Pete Dunne,09/18/2019,World Wrestling Entertainment,Singles,WWE NXT #491 ,
5860,Lio Rush vs. Oney Lorcan,09/18/2019,World Wrestling Entertainment,Singles,WWE NXT #491 ,
5861,Roderick Strong vs. Velveteen Dream,09/18/2019,World Wrestling Entertainment,Singles,WWE NXT #491 ,
5862,Killian Dain vs. Matt Riddle,09/18/2019,World Wrestling Entertainment,Street Fight,WWE NXT #491 ,
5863,AJ Styles vs. Rey Mysterio vs. Ricochet vs. Robert Roode vs. Shinsuke Nakamura,09/23/2019,World Wrestling Entertainment,Fatal Five Way,WWE Monday Night RAW #1374 ,
5864,Chad Gable vs. King Corbin,09/23/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1374 ,
5865,Angel Garza vs. Humberto Carrillo,09/24/2019,World Wrestling Entertainment,Singles,WWE 205 Live #148 ,
5866,Killian Dain vs. Matt Riddle,09/25/2019,World Wrestling Entertainment,Street Fight,WWE NXT #492 ,
5867,Dominik Dijakovic vs. Keith Lee,09/25/2019,World Wrestling Entertainment,Singles,WWE NXT #492 ,
5868,"Alexander Wolfe, Fabian Aichner & Marcel Barthel vs. Fandango, Kushida & Tyler Breeze",09/25/2019,World Wrestling Entertainment,Six Man Tag Team,WWE NXT #492 ,
5869,AJ Styles vs. Cedric Alexander,09/30/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1375 ,
5870,Dolph Ziggler & Robert Roode vs. Otis & Tucker,09/30/2019,World Wrestling Entertainment,Tag Team,WWE Monday Night RAW #1375 ,
5871,Candice LeRae vs. Shayna Baszler,10/02/2019,World Wrestling Entertainment,Singles,WWE NXT #493 ,***1/2
5872,Io Shirai vs. Mia Yim,10/02/2019,World Wrestling Entertainment,Singles,WWE NXT #493 ,***1/2
5873,Angelo Dawkins & Montez Ford vs. Bobby Fish & Kyle O'Reilly,10/02/2019,World Wrestling Entertainment,Tag Team,WWE NXT #493 ,***1/2
5874,Adam Cole vs. Matt Riddle,10/02/2019,World Wrestling Entertainment,Singles,WWE NXT #493 ,****1/4
5875,Johnny Gargano vs. Shane Thorne,10/02/2019,World Wrestling Entertainment,Singles,WWE NXT #493 ,
5876,Danny Burch vs. Pete Dunne,10/02/2019,World Wrestling Entertainment,Singles,WWE NXT #493 ,
5877,Kevin Owens vs. Shane McMahon,10/04/2019,World Wrestling Entertainment,Ladder,WWE Friday Night SmackDown #1050 ,
5878,Noam Dar vs. Trent Seven,10/04/2019,World Wrestling Entertainment,Singles,WWE NXT UK #65 ,
5879,Bayley & Sasha Banks vs. Becky Lynch & Charlotte Flair,10/04/2019,World Wrestling Entertainment,Tag Team,WWE Friday Night SmackDown #1050 ,
5880,Flash Morgan Webster & Mark Andrews vs. Mark Coffey & Wolfgang,10/04/2019,World Wrestling Entertainment,Tag Team,WWE NXT UK #64 ,
5881,Kassius Ohno vs. Tyler Bate,10/05/2019,World Wrestling Entertainment,Singles,WWE NXT UK #68 ,
5882,A-Kid vs. Kassius Ohno,10/05/2019,World Wrestling Entertainment,Singles,WWE NXT UK #66 ,
