Index,Fixture,Date,Promotion,Match type,Event
6337,"Atlantis, Taichi, TAKA Michinoku & Valiente vs. Jushin Thunder Liger, KUSHIDA, Mascara Dorada & Tiger Mask",01/04/2012,New Japan Pro Wrestling,Eight Man Tag Team,NJPW 40th Anniversary Tour ~ Wrestle Kingdom VI In Tokyo Dome
6338,Giant Bernard & Karl Anderson vs. Hiroyoshi Tenzan & Satoshi Kojima,01/04/2012,New Japan Pro Wrestling,Tag Team,NJPW 40th Anniversary Tour ~ Wrestle Kingdom VI In Tokyo Dome
6339,Hirooki Goto vs. Takashi Sugiura,01/04/2012,New Japan Pro Wrestling,Singles,NJPW 40th Anniversary Tour ~ Wrestle Kingdom VI In Tokyo Dome
6340,Masakatsu Funaki & Masayuki Kono vs. Wataru Inoue & Yuji Nagata,01/04/2012,New Japan Pro Wrestling,Tag Team,NJPW 40th Anniversary Tour ~ Wrestle Kingdom VI In Tokyo Dome
6341,Masato Tanaka & Yujiro Takahashi vs. MVP & Shelton Benjamin,01/04/2012,New Japan Pro Wrestling,Tag Team,NJPW 40th Anniversary Tour ~ Wrestle Kingdom VI In Tokyo Dome
6342,Go Shiozaki & Naomichi Marufuji vs. Shinsuke Nakamura & Toru Yano,01/04/2012,New Japan Pro Wrestling,Tag Team,NJPW 40th Anniversary Tour ~ Wrestle Kingdom VI In Tokyo Dome
6343,Togi Makabe vs. Yoshihiro Takayama,01/04/2012,New Japan Pro Wrestling,Singles,NJPW 40th Anniversary Tour ~ Wrestle Kingdom VI In Tokyo Dome
6344,Keiji Muto vs. Tetsuya Naito,01/04/2012,New Japan Pro Wrestling,Singles,NJPW 40th Anniversary Tour ~ Wrestle Kingdom VI In Tokyo Dome
6345,Hiroshi Tanahashi vs. Minoru Suzuki,01/04/2012,New Japan Pro Wrestling,Singles,NJPW 40th Anniversary Tour ~ Wrestle Kingdom VI In Tokyo Dome
6346,Davey Richards & Rocky Romero vs. Prince Devitt & Ryusuke Taguchi,01/04/2012,New Japan Pro Wrestling,Tag Team,NJPW 40th Anniversary Tour ~ Wrestle Kingdom VI In Tokyo Dome
6347,Hiroshi Tanahashi & Togi Makabe vs. Minoru Suzuki & Yoshihiro Takayama,12/24/2011,New Japan Pro Wrestling,Tag Team,NJPW Road To Kingdom X'Mas Battle
6348,Masato Tanaka vs. Tomoaki Honma,12/23/2011,New Japan Pro Wrestling,Singles,NJPW Road To Kingdom 1st
6349,Hiroshi Tanahashi & KUSHIDA vs. Minoru Suzuki & Taichi,12/14/2011,New Japan Pro Wrestling,Tag Team,NJPW Satoshi Kojima 20th Anniversary Show ~ Rush!!
6350,Giant Bernard vs. Minoru Suzuki,12/04/2011,New Japan Pro Wrestling,Singles,NJPW New Japan Alive 2011 - Tag 10
6351,Shinsuke Nakamura vs. Tetsuya Naito,12/04/2011,New Japan Pro Wrestling,Singles,NJPW New Japan Alive 2011 - Tag 10
6352,Hiroshi Tanahashi vs. Yuji Nagata,12/04/2011,New Japan Pro Wrestling,Singles,NJPW New Japan Alive 2011 - Tag 10
6353,"Hirooki Goto, MVP, Tama Tonga & Tetsuya Naito vs. Masato Tanaka, Shinsuke Nakamura, Tomohiro Ishii & Yujiro Takahashi",11/18/2011,New Japan Pro Wrestling,Eight Man Tag Team,NJPW New Japan Alive 2011 - Tag 1
