Index,Fixture,Date,Promotion,Match type,Event,WON rating
118,Jeff Hardy & Matt Hardy vs. Jeff Jarrett & Owen Hart,03/14/1999,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night ,
119,Mankind vs. Steve Austin,03/02/1999,World Wrestling Federation,Singles,WWF RAW is WAR #302 ,
120,Jeff Jarrett & Owen Hart vs. Triple H & X-Pac,03/01/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #301 ,
121,Kane vs. Steve Austin,03/01/1999,World Wrestling Federation,Singles,WWF RAW is WAR #301 ,
122,Bart Gunn vs. Bob Holly,02/16/1999,World Wrestling Federation,Singles,WWF RAW is WAR #300 ,
123,Kane vs. The Undertaker,02/16/1999,World Wrestling Federation,Inferno,WWF RAW is WAR #300 ,
124,"8-Ball, Brian Christopher, Scott Taylor & Skull vs. George Steele, Giant Silva, Golga & Kurrgan",02/15/1999,World Wrestling Federation,Eight Man Tag Team,WWF Shotgun Saturday Night ,
125,Mankind vs. The Rock,02/15/1999,World Wrestling Federation,Ladder,WWF RAW is WAR #299 ,****
126,Al Snow vs. Bob Holly,02/14/1999,World Wrestling Federation,Singles,WWF In Your House 27: St. Valentine's Day Massacre ,
127,Mideon vs. The Big Bossman,02/14/1999,World Wrestling Federation,Singles,WWF In Your House 27: St. Valentine's Day Massacre ,
128,D-Lo Brown & Mark Henry vs. Jeff Jarrett & Owen Hart,02/14/1999,World Wrestling Federation,Tag Team,WWF In Your House 27: St. Valentine's Day Massacre ,
129,Ken Shamrock vs. Val Venis,02/14/1999,World Wrestling Federation,Singles,WWF In Your House 27: St. Valentine's Day Massacre ,
130,Chyna & Kane vs. Triple H & X-Pac,02/14/1999,World Wrestling Federation,Tag Team,WWF In Your House 27: St. Valentine's Day Massacre ,
131,Steve Austin vs. Vince McMahon,02/14/1999,World Wrestling Federation,Steel Cage,WWF In Your House 27: St. Valentine's Day Massacre ,
132,Mankind vs. The Rock,02/14/1999,World Wrestling Federation,Last Man Standing,WWF In Your House 27: St. Valentine's Day Massacre ,***3/4
133,"Chyna, Kane, Ken Shamrock, Test, The Big Bossman & Vince McMahon vs. Steve Austin",02/08/1999,World Wrestling Federation,Six On One Handicap Gauntlet,WWF RAW is WAR #298 - RAW Saturday Night ,
134,Al Snow & The Road Dogg vs. Bradshaw & Faarooq,01/26/1999,World Wrestling Federation,Hardcore Tag Team,WWF RAW is WAR #297 ,
135,Kane vs. Triple H,01/26/1999,World Wrestling Federation,Steel Cage,WWF RAW is WAR #297 ,
136,D-Lo Brown & Mark Henry vs. Jeff Jarrett & Owen Hart vs. Triple H & X-Pac,01/26/1999,World Wrestling Federation,Three Way Tag Team,WWF Sunday Night Heat #28 ,
137,Mankind vs. The Rock,01/26/1999,World Wrestling Federation,Empty Arena,WWF Halftime Heat ,
138,Ken Shamrock vs. Owen Hart,01/25/1999,World Wrestling Federation,Singles,WWF Sunday Night Heat #27 ,
139,Al Snow & The Road Dogg vs. Edge & Gangrel,01/25/1999,World Wrestling Federation,Hardcore Tag Team,WWF RAW is WAR #296 ,
140,The Rock vs. Triple H,01/25/1999,World Wrestling Federation,I Quit,WWF RAW is WAR #296 ,***1/4
141,Mabel vs. Mankind,01/24/1999,World Wrestling Federation,Singles,WWF Sunday Night Heat #26 ,
142,Al Snow vs. Billy Gunn vs. Chyna vs. D-Lo Brown vs. Dan Severn vs. Droz vs. Edge vs. Gangrel vs. Gillberg vs. Goldust vs. Golga vs. Jeff Jarrett vs. Kane vs. Ken Shamrock vs. Kurrgan vs. Mabel vs. Mark Henry vs. Owen Hart vs. Steve Austin vs. Steve Blackman vs. Test vs. The Big Bossman vs. The Blue Meanie vs. The Godfather vs. The Road Dogg vs. Tiger Ali Singh vs. Triple H vs. Val Venis vs. Vince McMahon vs. X-Pac,01/24/1999,World Wrestling Federation,Royal Rumble,WWF Royal Rumble 1999 - No Chance In Hell ,
143,Billy Gunn vs. Ken Shamrock,01/24/1999,World Wrestling Federation,Singles,WWF Royal Rumble 1999 - No Chance In Hell ,
