Index,Fixture,Date,Promotion,Match type,Event,WON rating
1574,The Texas Tornado vs. The Warlord,04/22/1991,World Wrestling Federation,Singles,WWF on MSG Network ,
1575,Hulk Hogan vs. Sgt. Slaughter,04/22/1991,World Wrestling Federation,Singles,WWF on MSG Network ,
1576,Animal & Hawk vs. Kato & Tanaka,04/16/1991,World Wrestling Federation,Tag Team,WWF Wrestling Challenge #245 ,
1577,Bret Hart vs. The Warlord,04/16/1991,World Wrestling Federation,Singles,WWF Wrestling Challenge #246 ,
1578,Rick Martel vs. Roddy Piper,04/15/1991,World Wrestling Federation,Singles,WWF Superstars #241 ,
1579,Smash vs. The Ultimate Warrior,04/15/1991,World Wrestling Federation,Singles,WWF Superstars #242 ,
1580,Earthquake vs. Greg Valentine vs. Haku vs. Hercules vs. Hulk Hogan vs. Jake Roberts vs. Jim Duggan vs. Jimmy Snuka vs. Kato vs. Marty Jannetty vs. Mr. Perfect vs. Paul Roma vs. Shawn Michaels vs. Tanaka vs. The Barbarian vs. The Big Boss Man vs. The British Bulldog vs. The Texas Tornado vs. The Warlord vs. Tugboat,04/15/1991,World Wrestling Federation,Battle Royal,WWF Saturday Night's Main Event #29 ,
1581,Brian Knobbs & Jerry Sags vs. Butch & Luke,04/15/1991,World Wrestling Federation,Tag Team,WWF Saturday Night's Main Event #29 ,
1582,Sgt. Slaughter vs. The Ultimate Warrior,04/15/1991,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #29 ,
1583,Rick Martel vs. The Ultimate Warrior,03/27/1991,World Wrestling Federation,Singles,WWF Wrestling Challenge #243 ,
1584,Hulk Hogan vs. Sgt. Slaughter,03/24/1991,World Wrestling Federation,Singles,"WWF WrestleMania VII - ""Superstars And Stripes Forever"" ",
1585,Ted DiBiase vs. Virgil,03/24/1991,World Wrestling Federation,Singles,"WWF WrestleMania VII - ""Superstars And Stripes Forever"" ",
1586,Jake Roberts vs. Rick Martel,03/24/1991,World Wrestling Federation,Blindfold,"WWF WrestleMania VII - ""Superstars And Stripes Forever"" ",
1587,The British Bulldog vs. The Warlord,03/24/1991,World Wrestling Federation,Singles,"WWF WrestleMania VII - ""Superstars And Stripes Forever"" ",
1588,Mr. Perfect vs. The Big Boss Man,03/24/1991,World Wrestling Federation,Singles,"WWF WrestleMania VII - ""Superstars And Stripes Forever"" ",
1589,Randy Savage vs. The Ultimate Warrior,03/24/1991,World Wrestling Federation,Singles,"WWF WrestleMania VII - ""Superstars And Stripes Forever"" ",****1/4
1590,Haku & The Barbarian vs. Marty Jannetty & Shawn Michaels,03/24/1991,World Wrestling Federation,Tag Team,"WWF WrestleMania VII - ""Superstars And Stripes Forever"" ",***1/2
1591,Bret Hart & Jim Neidhart vs. Brian Knobbs & Jerry Sags,03/24/1991,World Wrestling Federation,Tag Team,"WWF WrestleMania VII - ""Superstars And Stripes Forever"" ",***1/2
1592,Mr. Perfect vs. Shawn Michaels,03/17/1991,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""Road To WrestleMania VII"" ",****
1593,Jim Duggan vs. Sgt. Slaughter,03/15/1991,World Wrestling Federation,Flag,WWF on MSG Network ,
1594,The British Bulldog vs. The Warlord,03/15/1991,World Wrestling Federation,Singles,WWF on MSG Network ,
1595,Jim Brunzell vs. The Barbarian,03/15/1991,World Wrestling Federation,Singles,WWF on MSG Network ,
1596,Bret Hart & Jim Neidhart vs. Dino Bravo & Earthquake,03/15/1991,World Wrestling Federation,Tag Team,WWF on MSG Network ,
1597,Marty Jannetty vs. Tanaka,03/15/1991,World Wrestling Federation,Singles,WWF on MSG Network ,
1598,Kato vs. Shawn Michaels,03/15/1991,World Wrestling Federation,Singles,WWF on MSG Network ,****
1599,Bret Hart vs. Brian Knobbs,03/11/1991,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""Road To WrestleMania VII"" ",
1600,Haku vs. The British Bulldog,02/19/1991,World Wrestling Federation,Singles,WWF Prime Time Wrestling ,
1601,Animal & Hawk vs. Kato & Tanaka,02/01/1991,World Wrestling Federation,Tag Team,WWF The Main Event V ,***1/4
1602,Animal & Hawk vs. Brian Knobbs & Jerry Sags vs. Butch & Luke vs. Crush & Smash vs. Hercules & Paul Roma vs. Kato & Tanaka vs. Marty Jannetty & Shawn Michaels,01/28/1991,World Wrestling Federation,Battle Royal,WWF Superstars #229 ,
1603,Dino Bravo & Earthquake vs. Hulk Hogan & Tugboat,01/28/1991,World Wrestling Federation,Tag Team,WWF The Main Event V ,
1604,Jim Duggan vs. Sgt. Slaughter,01/28/1991,World Wrestling Federation,Singles,WWF The Main Event V ,
1605,Randy Savage vs. The Ultimate Warrior,01/21/1991,World Wrestling Federation,Steel Cage,WWF on MSG Network ,
1606,Koko B. Ware vs. Tito Santana,01/21/1991,World Wrestling Federation,Singles,WWF on MSG Network ,
1607,Hercules vs. The Big Boss Man,01/21/1991,World Wrestling Federation,Singles,WWF on MSG Network ,
1608,Jimmy Snuka vs. The Undertaker,01/21/1991,World Wrestling Federation,Singles,WWF on MSG Network ,
1609,Paul Roma vs. Shane Douglas,01/21/1991,World Wrestling Federation,Singles,WWF on MSG Network ,
1610,Sgt. Slaughter vs. The Ultimate Warrior,01/19/1991,World Wrestling Federation,Singles,WWF Royal Rumble 1991 ,
1611,Animal vs. Bret Hart vs. Brian Knobbs vs. Butch vs. Crush vs. Dino Bravo vs. Earthquake vs. Greg Valentine vs. Haku vs. Hawk vs. Hercules vs. Hulk Hogan vs. Jake Roberts vs. Jim Duggan vs. Jimmy Snuka vs. Jim Neidhart vs. Luke vs. Mr. Perfect vs. Paul Roma vs. Rick Martel vs. Saba Simba vs. Shane Douglas vs. Smash vs. The British Bulldog vs. The Texas Tornado vs. The Undertaker vs. The Warlord vs. Tito Santana vs. Tugboat,01/19/1991,World Wrestling Federation,Royal Rumble,WWF Royal Rumble 1991 ,
1612,The Barbarian vs. The Big Boss Man,01/19/1991,World Wrestling Federation,Singles,WWF Royal Rumble 1991 ,
1613,Koko B. Ware vs. The Mountie,01/19/1991,World Wrestling Federation,Singles,WWF Royal Rumble 1991 ,
1614,Dustin Rhodes & Dusty Rhodes vs. Ted DiBiase & Virgil,01/19/1991,World Wrestling Federation,Tag Team,WWF Royal Rumble 1991 ,
1615,Kato & Tanaka vs. Marty Jannetty & Shawn Michaels,01/19/1991,World Wrestling Federation,Tag Team,WWF Royal Rumble 1991 ,****
1616,Mr. Perfect vs. Roddy Piper,12/28/1990,World Wrestling Federation,Singles,WWF on MSG Network ,****
1617,Dustin Rhodes & Dusty Rhodes vs. Ted DiBiase & Virgil,11/24/1990,World Wrestling Federation,Tag Team,WWF on MSG Network ,
1618,Ted DiBiase vs. The Ultimate Warrior,11/23/1990,World Wrestling Federation,Singles,WWF The Main Event IV ,***1/2
1619,Mr. Perfect vs. The Big Boss Man,11/23/1990,World Wrestling Federation,Singles,WWF The Main Event IV ,***3/4
1620,"Boris Zhukov, Sato, Sgt. Slaughter & Tanaka vs. Butch, Luke, Nikolai Volkoff & Tito Santana",11/22/1990,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1990 ,
1621,"Dino Bravo, Earthquake, Haku & The Barbarian vs. Hulk Hogan, Jim Duggan, The Big Boss Man & Tugboat",11/22/1990,World Wrestling Federation,Survivor Series Elimination Eight Man Tag Team,WWF Survivor Series 1990 ,
1622,"Animal, Hawk, The Texas Tornado & The Ultimate Warrior vs. Ax, Crush, Mr. Perfect & Smash",11/22/1990,World Wrestling Federation,Survivor Series Elimination Eight Man Tag Team,WWF Survivor Series 1990 ,
1623,"Hercules, Paul Roma, Rick Martel, Ted DiBiase & The Warlord vs. Hulk Hogan, The Ultimate Warrior & Tito Santana",11/22/1990,World Wrestling Federation,Five On Three Handicap Elimination,WWF Survivor Series 1990 ,
1624,"Hercules, Paul Roma, Rick Martel & The Warlord vs. Jake Roberts, Jimmy Snuka, Marty Jannetty & Shawn Michaels",11/22/1990,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1990 ,***1/4
1625,"Bret Hart, Dusty Rhodes, Jim Neidhart & Koko B. Ware vs. Greg Valentine, Ted DiBiase, The Honky Tonk Man & The Undertaker",11/22/1990,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1990 ,***1/2
1626,The Warlord vs. Tugboat,11/20/1990,World Wrestling Federation,Singles,WWF Prime Time Wrestling #300 ,
1627,Mr. Perfect vs. The Texas Tornado,11/19/1990,World Wrestling Federation,Singles,WWF Superstars #220 ,
1628,Rick Martel vs. Tito Santana,10/30/1990,World Wrestling Federation,Singles,WWF The Main Event IV ,
1629,Marty Jannetty vs. Rick Martel,10/29/1990,World Wrestling Federation,Singles,WWF Survivor Series Showdown 1990 ,
1630,Earthquake vs. The Big Boss Man,10/29/1990,World Wrestling Federation,Singles,WWF Survivor Series Showdown 1990 ,
1631,Smash vs. The Texas Tornado,10/29/1990,World Wrestling Federation,Singles,WWF Survivor Series Showdown 1990 ,
1632,Sgt. Slaughter vs. Tito Santana,10/29/1990,World Wrestling Federation,Singles,WWF Survivor Series Showdown 1990 ,
1633,Bret Hart & Jim Neidhart vs. Greg Valentine & The Honky Tonk Man,10/19/1990,World Wrestling Federation,Tag Team,WWF on MSG Network ,
1634,Dusty Rhodes vs. Ted DiBiase,10/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1635,Haku vs. The British Bulldog,10/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1636,Koko B. Ware vs. The Warlord,10/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1637,Mr. Perfect vs. The Texas Tornado,10/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1638,Iron Mike Sharpe vs. SD Jones,10/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1639,Shane Douglas vs. The Brooklyn Brawler,10/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1640,Dino Bravo vs. Tugboat,10/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1641,Dustin Rhodes vs. Ted DiBiase,10/09/1990,World Wrestling Federation,Ten Minute Challenge,WWF Superstars #214 ,
1642,Jim Duggan vs. Rick Rude,09/21/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1643,Dustin Rhodes vs. Paul Diamond,09/21/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1644,"Animal, Hawk & The Ultimate Warrior vs. Ax, Crush & Smash",09/18/1990,World Wrestling Federation,Six Man Tag Team,WWF Saturday Night's Main Event #28 ,
1645,Greg Valentine & The Honky Tonk Man vs. Hulk Hogan & Tugboat,09/18/1990,World Wrestling Federation,Tag Team,WWF Saturday Night's Main Event #28 ,
1646,Dusty Rhodes vs. Randy Savage,09/18/1990,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #28 ,
1647,Koko B. Ware vs. Sgt. Slaughter,09/18/1990,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #28 ,
1648,Hercules & Paul Roma vs. Marty Jannetty & Shawn Michaels,08/27/1990,World Wrestling Federation,Tag Team,"WWF SummerSlam 1990 - ""The Heat Returns"" ",
1649,Mr. Perfect vs. The Texas Tornado,08/27/1990,World Wrestling Federation,Singles,"WWF SummerSlam 1990 - ""The Heat Returns"" ",
1650,The Warlord vs. Tito Santana,08/27/1990,World Wrestling Federation,Singles,"WWF SummerSlam 1990 - ""The Heat Returns"" ",
1651,Earthquake vs. Hulk Hogan,08/27/1990,World Wrestling Federation,Singles,"WWF SummerSlam 1990 - ""The Heat Returns"" ",
1652,Rick Rude vs. The Ultimate Warrior,08/27/1990,World Wrestling Federation,Steel Cage,"WWF SummerSlam 1990 - ""The Heat Returns"" ",
1653,Bret Hart & Jim Neidhart vs. Crush & Smash,08/27/1990,World Wrestling Federation,Best Two Out Of Three Falls Tag Team,"WWF SummerSlam 1990 - ""The Heat Returns"" ",***1/2
1654,Mr. Perfect vs. Ronnie Garvin,08/15/1990,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""SummerSlam Fever"" ",
1655,Jim Neidhart vs. Smash,08/15/1990,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""SummerSlam Fever"" ",
1656,Earthquake vs. Jim Duggan,08/15/1990,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""SummerSlam Fever"" ",
1657,Mr. Perfect vs. Tito Santana,07/28/1990,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #27 ,****
1658,Crush & Smash vs. Marty Jannetty & Shawn Michaels,07/16/1990,World Wrestling Federation,Tag Team,WWF Saturday Night's Main Event #27 ,
1659,Rick Rude vs. The Ultimate Warrior,07/16/1990,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #27 ,
1660,Butch & Luke vs. Greg Valentine & The Honky Tonk Man,04/30/1990,World Wrestling Federation,Tag Team,WWF on MSG Network ,
1661,Ted DiBiase vs. The Big Boss Man,04/30/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1662,Haku vs. Hercules,04/30/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1663,Bad News Brown vs. Jake Roberts,04/30/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1664,Jimmy Snuka vs. The Barbarian,04/30/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1665,Jose Luis Rivera vs. Nikolai Volkoff,04/30/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1666,Jim Powers vs. Paul Diamond,04/30/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1667,Haku vs. Ronnie Garvin,04/29/1990,World Wrestling Federation,Singles,WWF Prime Time Wrestling ,
1668,Shawn Michaels vs. Ted DiBiase,04/24/1990,World Wrestling Federation,Singles,WWF Prime Time Wrestling ,
1669,Rick Martel vs. Roddy Piper,04/24/1990,World Wrestling Federation,Singles,WWF Wrestling Challenge #193 ,
1670,Mr. Perfect vs. Tito Santana,04/23/1990,World Wrestling Federation,Singles,WWF Superstars #190 ,
1671,Hulk Hogan vs. Mr. Perfect,04/23/1990,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #26 ,
1672,Bret Hart & Jim Neidhart vs. Marty Jannetty & Shawn Michaels,04/23/1990,World Wrestling Federation,Tag Team,WWF Saturday Night's Main Event #26 ,***3/4
1673,Jake Roberts vs. The Big Boss Man,04/13/1990,World Wrestling Federation,Singles,WWF/AJPW/NJPW Wrestling Summit ,
1674,Jumbo Tsuruta & King Haku vs. Mr. Perfect & Rick Martel,04/13/1990,World Wrestling Federation,Tag Team,WWF/AJPW/NJPW Wrestling Summit ,
1675,Jimmy Snuka & Tito Santana vs. Kenta Kobashi & Masanobu Fuchi,04/13/1990,World Wrestling Federation,Tag Team,WWF/AJPW/NJPW Wrestling Summit ,
1676,Andre The Giant & Giant Baba vs. Ax & Smash,04/13/1990,World Wrestling Federation,Tag Team,WWF/AJPW/NJPW Wrestling Summit ,
1677,Genichiro Tenryu vs. Randy Savage,04/13/1990,World Wrestling Federation,Singles,WWF/AJPW/NJPW Wrestling Summit ,***3/4
1678,Hulk Hogan vs. Stan Hansen,04/13/1990,World Wrestling Federation,Singles,WWF/AJPW/NJPW Wrestling Summit ,***
1679,Andre The Giant & Haku vs. Ax & Smash,04/01/1990,World Wrestling Federation,Tag Team,"WWF WrestleMania VI - ""The Ultimate Challenge"" ",
1680,Koko B. Ware vs. Rick Martel,04/01/1990,World Wrestling Federation,Singles,"WWF WrestleMania VI - ""The Ultimate Challenge"" ",
1681,Brutus Beefcake vs. Mr. Perfect,04/01/1990,World Wrestling Federation,Singles,"WWF WrestleMania VI - ""The Ultimate Challenge"" ",
1682,Bad News Brown vs. Roddy Piper,04/01/1990,World Wrestling Federation,Singles,"WWF WrestleMania VI - ""The Ultimate Challenge"" ",
1683,Dusty Rhodes & Sapphire vs. Queen Sherri & Randy Savage,04/01/1990,World Wrestling Federation,Mixed Tag Team,"WWF WrestleMania VI - ""The Ultimate Challenge"" ",
1684,Marty Jannetty & Shawn Michaels vs. Sato & Tanaka,04/01/1990,World Wrestling Federation,Tag Team,"WWF WrestleMania VI - ""The Ultimate Challenge"" ",
1685,Jake Roberts vs. Ted DiBiase,04/01/1990,World Wrestling Federation,Singles,"WWF WrestleMania VI - ""The Ultimate Challenge"" ",
1686,Hulk Hogan vs. The Ultimate Warrior,04/01/1990,World Wrestling Federation,Singles,"WWF WrestleMania VI - ""The Ultimate Challenge"" ",***3/4
1687,Ax & Smash vs. Sato & Tanaka,03/19/1990,World Wrestling Federation,Tag Team,WWF on MSG Network ,
1688,Mr. Perfect vs. The Ultimate Warrior,03/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1689,Iron Mike Sharpe vs. Jim Powers,03/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1690,Black Bart vs. Hercules,03/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1691,Frenchy Martin vs. Koko B. Ware,03/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1692,Earthquake vs. Jim Duggan,03/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1693,Bret Hart vs. Rick Martel,03/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1694,Brutus Beefcake vs. Dino Bravo,03/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1695,Pez Whatley vs. Tugboat Thomas,03/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1696,Dusty Rhodes vs. Randy Savage,03/07/1990,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""The Ultimate Challenge Special"" ",
1697,Hulk Hogan vs. Randy Savage,02/23/1990,World Wrestling Federation,Singles,WWF The Main Event III ,
1698,Buddy Rose vs. Tito Santana,02/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1699,Rick Martel vs. The Red Rooster,02/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1700,Brutus Beefcake & Hulk Hogan vs. Mr. Perfect & The Genius,02/19/1990,World Wrestling Federation,Tag Team,WWF on MSG Network ,
1701,Akeem vs. Dusty Rhodes,02/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1702,Bad News Brown vs. Jim Brunzell,02/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1703,"Jim Duggan, Marty Jannetty & Shawn Michaels vs. Mr. Fuji, The Barbarian & The Warlord",02/19/1990,World Wrestling Federation,Six Man Tag Team,WWF on MSG Network ,
1704,Earthquake vs. Ronnie Garvin,02/19/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1705,Rick Rude vs. Ron Garvin,02/14/1990,World Wrestling Federation,Singles,WWF Prime Time Wrestling ,
1706,Jim Duggan vs. Randy Savage,01/27/1990,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #25 ,***1/2
1707,Hulk Hogan & The Ultimate Warrior vs. Mr. Perfect & The Genius,01/27/1990,World Wrestling Federation,Tag Team,WWF Saturday Night's Main Event #25 ,***1/2
1708,Butch & Luke vs. Jacques Rougeau & Raymond Rougeau,01/21/1990,World Wrestling Federation,Tag Team,WWF Royal Rumble 1990 ,
1709,Brutus Beefcake vs. The Genius,01/21/1990,World Wrestling Federation,Singles,WWF Royal Rumble 1990 ,
1710,Jim Duggan vs. The Big Boss Man,01/21/1990,World Wrestling Federation,Singles,WWF Royal Rumble 1990 ,
1711,Akeem vs. Andre The Giant vs. Ax vs. Bad News Brown vs. Bret Hart vs. Dino Bravo vs. Dusty Rhodes vs. Earthquake vs. Haku vs. Hercules vs. Hulk Hogan vs. Jake Roberts vs. Jimmy Snuka vs. Jim Neidhart vs. Koko B. Ware vs. Marty Jannetty vs. Mr. Perfect vs. Randy Savage vs. Rick Martel vs. Rick Rude vs. Roddy Piper vs. Shawn Michaels vs. Smash vs. Ted DiBiase vs. The Barbarian vs. The Honky Tonk Man vs. The Red Rooster vs. The Ultimate Warrior vs. The Warlord vs. Tito Santana,01/21/1990,World Wrestling Federation,Royal Rumble,WWF Royal Rumble 1990 ,***
1712,Greg Valentine vs. Ronnie Garvin,01/21/1990,World Wrestling Federation,Submission,WWF Royal Rumble 1990 ,**
1713,Marty Jannetty & Shawn Michaels vs. The Barbarian & The Warlord,01/15/1990,World Wrestling Federation,Tag Team,WWF on MSG Network ,
1714,Hulk Hogan vs. Mr. Perfect,01/15/1990,World Wrestling Federation,Singles,WWF on MSG Network ,
1715,Dusty Rhodes vs. Rick Rude,01/03/1990,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #25 ,
1716,Greg Valentine vs. Jake Roberts,01/03/1990,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #25 ,
1717,Andre The Giant & Haku vs. Ax & Smash,12/28/1989,World Wrestling Federation,Tag Team,WWF on MSG Network ,
1718,Rick Rude vs. Roddy Piper,12/28/1989,World Wrestling Federation,Steel Cage,WWF on MSG Network ,
1719,Jake Roberts vs. Ted DiBiase,12/28/1989,World Wrestling Federation,No Disqualification,WWF on MSG Network ,
1720,Brutus Beefcake & Hulk Hogan vs. Randy Savage & Zeus,12/12/1989,World Wrestling Federation,No Holds Barred Steel Cage Tag Team,WWF No Holds Barred - The Match/The Movie ,
1721,Bret Hart & Jim Neidhart vs. Marty Jannetty & Shawn Michaels,11/25/1989,World Wrestling Federation,Tag Team,WWF on MSG Network ,***3/4
1722,"Andre The Giant, Arn Anderson, Bobby Heenan & Haku vs. Jim Neidhart, Marty Jannetty, Shawn Michaels & The Ultimate Warrior",11/23/1989,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1989 ,
1723,"Bret Hart, Hercules, Jim Duggan & Ronnie Garvin vs. Dino Bravo, Earthquake, Greg Valentine & Randy Savage",11/23/1989,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1989 ,
1724,"Ax, Hulk Hogan, Jake Roberts & Smash vs. Ted DiBiase, The Barbarian, The Warlord & Zeus",11/23/1989,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1989 ,
1725,"Bad News Brown, Rick Martel, The Big Boss Man & The Honky Tonk Man vs. Brutus Beefcake, Dusty Rhodes, The Red Rooster & Tito Santana",11/23/1989,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1989 ,
1726,"Bushwhacker Butch, Bushwhacker Luke, Jimmy Snuka & Roddy Piper vs. Jacques Rougeau, Mr. Perfect, Raymond Rougeau & Rick Rude",11/23/1989,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1989 ,***1/4
1727,The Ultimate Warrior vs. Tully Blanchard,11/01/1989,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""Survivor Series Showdown 1989"" ",
1728,Hercules vs. Randy Savage,11/01/1989,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""Survivor Series Showdown 1989"" ",
1729,The Big Boss Man vs. Tito Santana,11/01/1989,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""Survivor Series Showdown 1989"" ",
1730,Butch vs. Mr. Perfect,11/01/1989,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""Survivor Series Showdown 1989"" ",
1731,Smash vs. Ted DiBiase,11/01/1989,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""Survivor Series Showdown 1989"" ",
1732,Jim Duggan vs. Randy Savage,10/31/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #24 ,
1733,Rick Rude vs. Roddy Piper,10/31/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #24 ,
1734,Andre The Giant vs. The Ultimate Warrior,10/31/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #24 ,
1735,Arn Anderson & Tully Blanchard vs. Marty Jannetty & Shawn Michaels,10/31/1989,World Wrestling Federation,Best Two Out Of Three Falls Tag Team,WWF Saturday Night's Main Event #24 ,
1736,Hulk Hogan vs. The Genius,10/31/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #24 ,
1737,Jim Duggan vs. Randy Savage,10/28/1989,World Wrestling Federation,Singles,WWF on MSG Network ,***1/4
1738,Rick Martel vs. Tito Santana,10/14/1989,World Wrestling Federation,Singles,WWF King Of The Ring 1989 ,***1/2
1739,Jacques Rougeau & Raymond Rougeau vs. Marty Jannetty & Shawn Michaels,10/10/1989,World Wrestling Federation,Tag Team,WWF on Sky One ,
1740,Hulk Hogan vs. Randy Savage,10/10/1989,World Wrestling Federation,Singles,WWF on Sky One ,
1741,Arn Anderson & Tully Blanchard vs. Ax & Smash,10/02/1989,World Wrestling Federation,Tag Team,WWF Superstars #162 ,
1742,Andre The Giant vs. The Ultimate Warrior,09/30/1989,World Wrestling Federation,Singles,WWF on MSG Network ,
1743,Rick Rude vs. Roddy Piper,09/30/1989,World Wrestling Federation,Singles,WWF on MSG Network ,
1744,Arn Anderson & Tully Blanchard vs. Ax & Smash,09/30/1989,World Wrestling Federation,Tag Team,WWF on MSG Network ,
1745,Jimmy Snuka vs. Randy Savage,09/21/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #23 ,
1746,Hulk Hogan vs. Ted DiBiase,09/21/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #23 ,
1747,Rick Martel vs. Tito Santana,09/21/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #23 ,***1/2
1748,Barry Windham vs. Tito Santana,08/30/1989,World Wrestling Federation,Singles,WWF Prime Time Wrestling ,
1749,Bret Hart & Jim Neidhart vs. Marty Jannetty & Shawn Michaels,08/29/1989,World Wrestling Federation,Tag Team,WWF Prime Time Wrestling ,
1750,"Akeem, Andre The Giant & The Big Boss Man vs. Ax, King Duggan & Smash",08/28/1989,World Wrestling Federation,Six Man Tag Team,WWF SummerSlam 1989 - Feel The Heat ,
1751,Dusty Rhodes vs. The Honky Tonk Man,08/28/1989,World Wrestling Federation,Singles,WWF SummerSlam 1989 - Feel The Heat ,
1752,Jimmy Snuka vs. Ted DiBiase,08/28/1989,World Wrestling Federation,Singles,WWF SummerSlam 1989 - Feel The Heat ,
1753,Brutus Beefcake & Hulk Hogan vs. Randy Savage & Zeus,08/28/1989,World Wrestling Federation,Tag Team,WWF SummerSlam 1989 - Feel The Heat ,
1754,Rick Rude vs. The Ultimate Warrior,08/28/1989,World Wrestling Federation,Singles,WWF SummerSlam 1989 - Feel The Heat ,***1/4
1755,"Jacques Rougeau, Raymond Rougeau & Rick Martel vs. Marty Jannetty, Shawn Michaels & Tito Santana",08/28/1989,World Wrestling Federation,Six Man Tag Team,WWF SummerSlam 1989 - Feel The Heat ,***1/4
1756,Arn Anderson & Tully Blanchard vs. Bret Hart & Jim Neidhart,08/28/1989,World Wrestling Federation,Tag Team,WWF SummerSlam 1989 - Feel The Heat ,**
1757,Arn Anderson & Tully Blanchard vs. Ax & Smash,07/29/1989,World Wrestling Federation,Best Two Out Of Three Falls Tag Team,WWF Saturday Night's Main Event #22 ,***1/4
1758,Hulk Hogan vs. The Honky Tonk Man,07/18/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #22 ,
1759,Brutus Beefcake vs. Randy Savage,07/18/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #22 ,***3/4
1760,Dusty Rhodes vs. Ted DiBiase,06/03/1989,World Wrestling Federation,Singles,WWF on NESN ,
1761,Bret Hart vs. Mr. Perfect,06/03/1989,World Wrestling Federation,Singles,WWF on NESN ,
1762,Hulk Hogan vs. The Big Boss Man,05/27/1989,World Wrestling Federation,Steel Cage,WWF Saturday Night's Main Event #21 ,***3/4
1763,Arn Anderson & Tully Blanchard vs. Ax & Smash,05/27/1989,World Wrestling Federation,Tag Team,WWF Saturday Night's Main Event #21 ,***1/4
1764,The Brooklyn Brawler vs. The Red Rooster,05/08/1989,World Wrestling Federation,Singles,WWF on MSG Network ,
1765,Rick Rude vs. The Ultimate Warrior,05/08/1989,World Wrestling Federation,Singles,WWF on MSG Network ,
