,Match,Date,Promotion,Match Type,Event,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8
1686,Andre The Giant & Haku vs. Ax & Smash,12/28/1989,World Wrestling Federation,Tag Team,WWF on MSG Network,Andre The Giant,Haku,Ax,Smash,n/a,n/a,n/a,n/a
1687,Rick Rude vs. Roddy Piper,12/28/1989,World Wrestling Federation,Steel Cage,WWF on MSG Network,Rick Rude,Roddy Piper,n/a,n/a,n/a,n/a,n/a,n/a
1688,Jake Roberts vs. Ted DiBiase,12/28/1989,World Wrestling Federation,No Disqualification,WWF on MSG Network,Jake Roberts,Ted DiBiase,n/a,n/a,n/a,n/a,n/a,n/a
1689,Brutus Beefcake & Hulk Hogan vs. Randy Savage & Zeus,12/12/1989,World Wrestling Federation,No Holds Barred Steel Cage Tag Team,WWF No Holds Barred - The Match/The Movie,Brutus Beefcake,Hulk Hogan,Randy Savage,Zeus,n/a,n/a,n/a,n/a
1690,Bret Hart & Jim Neidhart vs. Marty Jannetty & Shawn Michaels,11/25/1989,World Wrestling Federation,Tag Team,WWF on MSG Network,Bret Hart,Jim Neidhart,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1691,"Andre The Giant, Arn Anderson, Bobby Heenan & Haku vs. Jim Neidhart, Marty Jannetty, Shawn Michaels & The Ultimate Warrior",11/23/1989,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1989,Andre The Giant,Arn Anderson,Bobby Heenan,Haku,Jim Neidhart,Marty Jannetty,Shawn Michaels,The Ultimate Warrior
1692,"Bret Hart, Hercules, Jim Duggan & Ronnie Garvin vs. Dino Bravo, Earthquake, Greg Valentine & Randy Savage",11/23/1989,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1989,Bret Hart,Hercules,Jim Duggan,Ronnie Garvin,Dino Bravo,Earthquake,Greg Valentine,Randy Savage
1693,"Ax, Hulk Hogan, Jake Roberts & Smash vs. Ted DiBiase, The Barbarian, The Warlord & Zeus",11/23/1989,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1989,Ax,Hulk Hogan,Jake Roberts,Smash,Ted DiBiase,The Barbarian,The Warlord,Zeus
1694,"Bad News Brown, Rick Martel, The Big Boss Man & The Honky Tonk Man vs. Brutus Beefcake, Dusty Rhodes, The Red Rooster & Tito Santana",11/23/1989,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1989,Bad News Brown,Rick Martel,The Big Boss Man,The Honky Tonk Man,Brutus Beefcake,Dusty Rhodes,The Red Rooster,Tito Santana
1695,"Bushwhacker Butch, Bushwhacker Luke, Jimmy Snuka & Roddy Piper vs. Jacques Rougeau, Mr. Perfect, Raymond Rougeau & Rick Rude",11/23/1989,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1989,Bushwhacker Butch,Bushwhacker Luke,Jimmy Snuka,Roddy Piper,Jacques Rougeau,Mr. Perfect,Raymond Rougeau,Rick Rude
1696,The Ultimate Warrior vs. Tully Blanchard,11/01/1989,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""Survivor Series Showdown 1989""",The Ultimate Warrior,Tully Blanchard,n/a,n/a,n/a,n/a,n/a,n/a
1697,Hercules vs. Randy Savage,11/01/1989,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""Survivor Series Showdown 1989""",Hercules,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1698,The Big Boss Man vs. Tito Santana,11/01/1989,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""Survivor Series Showdown 1989""",The Big Boss Man,Tito Santana,n/a,n/a,n/a,n/a,n/a,n/a
1699,Butch vs. Mr. Perfect,11/01/1989,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""Survivor Series Showdown 1989""",Butch,Mr. Perfect,n/a,n/a,n/a,n/a,n/a,n/a
1700,Smash vs. Ted DiBiase,11/01/1989,World Wrestling Federation,Singles,"WWF Prime Time Wrestling - ""Survivor Series Showdown 1989""",Smash,Ted DiBiase,n/a,n/a,n/a,n/a,n/a,n/a
1701,Jim Duggan vs. Randy Savage,10/31/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #24,Jim Duggan,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1702,Rick Rude vs. Roddy Piper,10/31/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #24,Rick Rude,Roddy Piper,n/a,n/a,n/a,n/a,n/a,n/a
1703,Andre The Giant vs. The Ultimate Warrior,10/31/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #24,Andre The Giant,The Ultimate Warrior,n/a,n/a,n/a,n/a,n/a,n/a
1704,Arn Anderson & Tully Blanchard vs. Marty Jannetty & Shawn Michaels,10/31/1989,World Wrestling Federation,Best Two Out Of Three Falls Tag Team,WWF Saturday Night's Main Event #24,Arn Anderson,Tully Blanchard,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1705,Hulk Hogan vs. The Genius,10/31/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #24,Hulk Hogan,The Genius,n/a,n/a,n/a,n/a,n/a,n/a
1706,Jim Duggan vs. Randy Savage,10/28/1989,World Wrestling Federation,Singles,WWF on MSG Network,Jim Duggan,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1707,Rick Martel vs. Tito Santana,10/14/1989,World Wrestling Federation,Singles,WWF King Of The Ring 1989,Rick Martel,Tito Santana,n/a,n/a,n/a,n/a,n/a,n/a
1708,Jacques Rougeau & Raymond Rougeau vs. Marty Jannetty & Shawn Michaels,10/10/1989,World Wrestling Federation,Tag Team,WWF on Sky One,Jacques Rougeau,Raymond Rougeau,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1709,Hulk Hogan vs. Randy Savage,10/10/1989,World Wrestling Federation,Singles,WWF on Sky One,Hulk Hogan,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1710,Arn Anderson & Tully Blanchard vs. Ax & Smash,10/02/1989,World Wrestling Federation,Tag Team,WWF Superstars #162,Arn Anderson,Tully Blanchard,Ax,Smash,n/a,n/a,n/a,n/a
1711,Andre The Giant vs. The Ultimate Warrior,09/30/1989,World Wrestling Federation,Singles,WWF on MSG Network,Andre The Giant,The Ultimate Warrior,n/a,n/a,n/a,n/a,n/a,n/a
1712,Rick Rude vs. Roddy Piper,09/30/1989,World Wrestling Federation,Singles,WWF on MSG Network,Rick Rude,Roddy Piper,n/a,n/a,n/a,n/a,n/a,n/a
1713,Arn Anderson & Tully Blanchard vs. Ax & Smash,09/30/1989,World Wrestling Federation,Tag Team,WWF on MSG Network,Arn Anderson,Tully Blanchard,Ax,Smash,n/a,n/a,n/a,n/a
1714,Jimmy Snuka vs. Randy Savage,09/21/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #23,Jimmy Snuka,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1715,Hulk Hogan vs. Ted DiBiase,09/21/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #23,Hulk Hogan,Ted DiBiase,n/a,n/a,n/a,n/a,n/a,n/a
1716,Rick Martel vs. Tito Santana,09/21/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #23,Rick Martel,Tito Santana,n/a,n/a,n/a,n/a,n/a,n/a
1717,Barry Windham vs. Tito Santana,08/30/1989,World Wrestling Federation,Singles,WWF Prime Time Wrestling,Barry Windham,Tito Santana,n/a,n/a,n/a,n/a,n/a,n/a
1718,Bret Hart & Jim Neidhart vs. Marty Jannetty & Shawn Michaels,08/29/1989,World Wrestling Federation,Tag Team,WWF Prime Time Wrestling,Bret Hart,Jim Neidhart,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1719,"Akeem, Andre The Giant & The Big Boss Man vs. Ax, King Duggan & Smash",08/28/1989,World Wrestling Federation,Six Man Tag Team,WWF SummerSlam 1989 - Feel The Heat,Akeem,Andre The Giant,The Big Boss Man,Ax,King Duggan,Smash,n/a,n/a
1720,Dusty Rhodes vs. The Honky Tonk Man,08/28/1989,World Wrestling Federation,Singles,WWF SummerSlam 1989 - Feel The Heat,Dusty Rhodes,The Honky Tonk Man,n/a,n/a,n/a,n/a,n/a,n/a
1721,Jimmy Snuka vs. Ted DiBiase,08/28/1989,World Wrestling Federation,Singles,WWF SummerSlam 1989 - Feel The Heat,Jimmy Snuka,Ted DiBiase,n/a,n/a,n/a,n/a,n/a,n/a
1722,Brutus Beefcake & Hulk Hogan vs. Randy Savage & Zeus,08/28/1989,World Wrestling Federation,Tag Team,WWF SummerSlam 1989 - Feel The Heat,Brutus Beefcake,Hulk Hogan,Randy Savage,Zeus,n/a,n/a,n/a,n/a
1723,Rick Rude vs. The Ultimate Warrior,08/28/1989,World Wrestling Federation,Singles,WWF SummerSlam 1989 - Feel The Heat,Rick Rude,The Ultimate Warrior,n/a,n/a,n/a,n/a,n/a,n/a
1724,"Jacques Rougeau, Raymond Rougeau & Rick Martel vs. Marty Jannetty, Shawn Michaels & Tito Santana",08/28/1989,World Wrestling Federation,Six Man Tag Team,WWF SummerSlam 1989 - Feel The Heat,Jacques Rougeau,Raymond Rougeau,Rick Martel,Marty Jannetty,Shawn Michaels,Tito Santana,n/a,n/a
1725,Arn Anderson & Tully Blanchard vs. Bret Hart & Jim Neidhart,08/28/1989,World Wrestling Federation,Tag Team,WWF SummerSlam 1989 - Feel The Heat,Arn Anderson,Tully Blanchard,Bret Hart,Jim Neidhart,n/a,n/a,n/a,n/a
1726,Arn Anderson & Tully Blanchard vs. Ax & Smash,07/29/1989,World Wrestling Federation,Best Two Out Of Three Falls Tag Team,WWF Saturday Night's Main Event #22,Arn Anderson,Tully Blanchard,Ax,Smash,n/a,n/a,n/a,n/a
1727,Hulk Hogan vs. The Honky Tonk Man,07/18/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #22,Hulk Hogan,The Honky Tonk Man,n/a,n/a,n/a,n/a,n/a,n/a
1728,Brutus Beefcake vs. Randy Savage,07/18/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #22,Brutus Beefcake,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1729,Dusty Rhodes vs. Ted DiBiase,06/03/1989,World Wrestling Federation,Singles,WWF on NESN,Dusty Rhodes,Ted DiBiase,n/a,n/a,n/a,n/a,n/a,n/a
1730,Bret Hart vs. Mr. Perfect,06/03/1989,World Wrestling Federation,Singles,WWF on NESN,Bret Hart,Mr. Perfect,n/a,n/a,n/a,n/a,n/a,n/a
1731,Hulk Hogan vs. The Big Boss Man,05/27/1989,World Wrestling Federation,Steel Cage,WWF Saturday Night's Main Event #21,Hulk Hogan,The Big Boss Man,n/a,n/a,n/a,n/a,n/a,n/a
1732,Arn Anderson & Tully Blanchard vs. Ax & Smash,05/27/1989,World Wrestling Federation,Tag Team,WWF Saturday Night's Main Event #21,Arn Anderson,Tully Blanchard,Ax,Smash,n/a,n/a,n/a,n/a
1733,The Brooklyn Brawler vs. The Red Rooster,05/08/1989,World Wrestling Federation,Singles,WWF on MSG Network,The Brooklyn Brawler,The Red Rooster,n/a,n/a,n/a,n/a,n/a,n/a
1734,Rick Rude vs. The Ultimate Warrior,05/08/1989,World Wrestling Federation,Singles,WWF on MSG Network,Rick Rude,The Ultimate Warrior,n/a,n/a,n/a,n/a,n/a,n/a
1735,Bret Hart vs. Greg Valentine,05/08/1989,World Wrestling Federation,Singles,WWF on MSG Network,Bret Hart,Greg Valentine,n/a,n/a,n/a,n/a,n/a,n/a
1736,King Duggan vs. Rick Rude,04/25/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #21,King Duggan,Rick Rude,n/a,n/a,n/a,n/a,n/a,n/a
1737,Jim Neidhart vs. Randy Savage,04/25/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #21,Jim Neidhart,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1738,Greg Valentine vs. The Blue Blazer,04/24/1989,World Wrestling Federation,Singles,WWF on MSG Network,Greg Valentine,The Blue Blazer,n/a,n/a,n/a,n/a,n/a,n/a
1739,Jake Roberts vs. Ted DiBiase,04/24/1989,World Wrestling Federation,Singles,WWF on MSG Network,Jake Roberts,Ted DiBiase,n/a,n/a,n/a,n/a,n/a,n/a
1740,Hulk Hogan vs. Randy Savage,04/23/1989,World Wrestling Federation,Singles,WWF,Hulk Hogan,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1741,Bret Hart vs. Mr. Perfect,04/23/1989,World Wrestling Federation,Singles,WWF,Bret Hart,Mr. Perfect,n/a,n/a,n/a,n/a,n/a,n/a
1742,Andre The Giant vs. Bret Hart,04/10/1989,World Wrestling Federation,Singles,WWF On Tele+2,Andre The Giant,Bret Hart,n/a,n/a,n/a,n/a,n/a,n/a
1743,Andre The Giant vs. Jake Roberts,04/02/1989,World Wrestling Federation,Singles,"WWF WrestleMania V - ""The Mega-Powers Explode""",Andre The Giant,Jake Roberts,n/a,n/a,n/a,n/a,n/a,n/a
1744,Arn Anderson & Tully Blanchard vs. Rick Martel & Tito Santana,04/02/1989,World Wrestling Federation,Tag Team,"WWF WrestleMania V - ""The Mega-Powers Explode""",Arn Anderson,Tully Blanchard,Rick Martel,Tito Santana,n/a,n/a,n/a,n/a
1745,Hulk Hogan vs. Randy Savage,04/02/1989,World Wrestling Federation,Singles,"WWF WrestleMania V - ""The Mega-Powers Explode""",Hulk Hogan,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1746,Hercules vs. King Haku,04/02/1989,World Wrestling Federation,Singles,"WWF WrestleMania V - ""The Mega-Powers Explode""",Hercules,King Haku,n/a,n/a,n/a,n/a,n/a,n/a
1747,Akeem & The Big Boss Man vs. Marty Jannetty & Shawn Michaels,04/02/1989,World Wrestling Federation,Tag Team,"WWF WrestleMania V - ""The Mega-Powers Explode""",Akeem,The Big Boss Man,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1748,Brutus Beefcake vs. Ted DiBiase,04/02/1989,World Wrestling Federation,Singles,"WWF WrestleMania V - ""The Mega-Powers Explode""",Brutus Beefcake,Ted DiBiase,n/a,n/a,n/a,n/a,n/a,n/a
1749,Butch & Luke vs. Jacques Rougeau & Raymond Rougeau,04/02/1989,World Wrestling Federation,Tag Team,"WWF WrestleMania V - ""The Mega-Powers Explode""",Butch,Luke,Jacques Rougeau,Raymond Rougeau,n/a,n/a,n/a,n/a
1750,Mr. Perfect vs. The Blue Blazer,04/02/1989,World Wrestling Federation,Singles,"WWF WrestleMania V - ""The Mega-Powers Explode""",Mr. Perfect,The Blue Blazer,n/a,n/a,n/a,n/a,n/a,n/a
1751,"Ax & Smash vs. Mr. Fuji, The Barbarian & The Warlord",04/02/1989,World Wrestling Federation,Three On Two Handicap,"WWF WrestleMania V - ""The Mega-Powers Explode""",Ax,Smash,Mr. Fuji,The Barbarian,The Warlord,n/a,n/a,n/a
1752,Bret Hart & Jim Neidhart vs. Greg Valentine & The Honky Tonk Man,04/02/1989,World Wrestling Federation,Tag Team,"WWF WrestleMania V - ""The Mega-Powers Explode""",Bret Hart,Jim Neidhart,Greg Valentine,The Honky Tonk Man,n/a,n/a,n/a,n/a
1753,Rick Rude vs. The Ultimate Warrior,04/02/1989,World Wrestling Federation,Singles,"WWF WrestleMania V - ""The Mega-Powers Explode""",Rick Rude,The Ultimate Warrior,n/a,n/a,n/a,n/a,n/a,n/a
1754,Bret Hart vs. Ted DiBiase,03/20/1989,World Wrestling Federation,Singles,WWF Prime Time Wrestling #209,Bret Hart,Ted DiBiase,n/a,n/a,n/a,n/a,n/a,n/a
1755,Arn Anderson & Tully Blanchard vs. Marty Jannetty & Shawn Michaels,03/18/1989,World Wrestling Federation,Tag Team,WWF on NESN,Arn Anderson,Tully Blanchard,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1756,Hulk Hogan vs. The Big Boss Man,03/18/1989,World Wrestling Federation,Steel Cage,WWF on MSG Network,Hulk Hogan,The Big Boss Man,n/a,n/a,n/a,n/a,n/a,n/a
1757,Arn Anderson & Tully Blanchard vs. Marty Jannetty & Shawn Michaels,03/18/1989,World Wrestling Federation,Tag Team,WWF on MSG Network,Arn Anderson,Tully Blanchard,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1758,Arn Anderson & Tully Blanchard vs. Marty Jannetty & Shawn Michaels,03/08/1989,World Wrestling Federation,Tag Team,WWF Prime Time Wrestling,Arn Anderson,Tully Blanchard,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1759,King Haku vs. Rick Martel,02/20/1989,World Wrestling Federation,Singles,WWF on MSG Network,King Haku,Rick Martel,n/a,n/a,n/a,n/a,n/a,n/a
1760,Brutus Beefcake vs. Rick Rude,02/20/1989,World Wrestling Federation,Singles,WWF on MSG Network,Brutus Beefcake,Rick Rude,n/a,n/a,n/a,n/a,n/a,n/a
1761,Brutus Beefcake vs. Rick Rude,02/16/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #20,Brutus Beefcake,Rick Rude,n/a,n/a,n/a,n/a,n/a,n/a
1762,Bad News Brown vs. Hulk Hogan,02/16/1989,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #20,Bad News Brown,Hulk Hogan,n/a,n/a,n/a,n/a,n/a,n/a
1763,Arn Anderson & Tully Blanchard vs. Marty Jannetty & Shawn Michaels,02/16/1989,World Wrestling Federation,Tag Team,WWF Saturday Night's Main Event #20,Arn Anderson,Tully Blanchard,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1764,Akeem vs. Big John Studd,02/15/1989,World Wrestling Federation,Singles,WWF TV Taping,Akeem,Big John Studd,n/a,n/a,n/a,n/a,n/a,n/a
1765,Rick Rude vs. Tito Santana,02/11/1989,World Wrestling Federation,Singles,WWF on NESN,Rick Rude,Tito Santana,n/a,n/a,n/a,n/a,n/a,n/a
1766,Akeem & The Big Boss Man vs. Hulk Hogan & Randy Savage,02/03/1989,World Wrestling Federation,Tag Team,WWF The Main Event II,Akeem,The Big Boss Man,Hulk Hogan,Randy Savage,n/a,n/a,n/a,n/a
1767,Hercules vs. Ted DiBiase,02/03/1989,World Wrestling Federation,Singles,WWF The Main Event II,Hercules,Ted DiBiase,n/a,n/a,n/a,n/a,n/a,n/a
1768,Arn Anderson & Tully Blanchard vs. Marty Jannetty & Shawn Michaels,01/29/1989,World Wrestling Federation,Tag Team,WWF on Z Channel,Arn Anderson,Tully Blanchard,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1769,Brutus Beefcake vs. Rick Rude,01/29/1989,World Wrestling Federation,Singles,WWF on Z Channel,Brutus Beefcake,Rick Rude,n/a,n/a,n/a,n/a,n/a,n/a
1770,Danny Davis vs. Sam Houston,01/23/1989,World Wrestling Federation,Singles,WWF on MSG Network,Danny Davis,Sam Houston,n/a,n/a,n/a,n/a,n/a,n/a
1771,Brutus Beefcake vs. Mr. Perfect,01/23/1989,World Wrestling Federation,Singles,WWF on MSG Network,Brutus Beefcake,Mr. Perfect,n/a,n/a,n/a,n/a,n/a,n/a
1772,Jose Estrada vs. Tim Horner,01/23/1989,World Wrestling Federation,Singles,WWF on MSG Network,Jose Estrada,Tim Horner,n/a,n/a,n/a,n/a,n/a,n/a
1773,Bret Hart vs. The Honky Tonk Man,01/23/1989,World Wrestling Federation,Singles,WWF on MSG Network,Bret Hart,The Honky Tonk Man,n/a,n/a,n/a,n/a,n/a,n/a
1774,Arn Anderson & Tully Blanchard vs. Marty Jannetty & Shawn Michaels,01/23/1989,World Wrestling Federation,Tag Team,WWF on MSG Network,Arn Anderson,Tully Blanchard,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1775,Harley Race vs. King Haku,01/15/1989,World Wrestling Federation,Singles,WWF Royal Rumble 1989,Harley Race,King Haku,n/a,n/a,n/a,n/a,n/a,n/a
1776,"Bret Hart, Jim Duggan & Jim Neidhart vs. Dino Bravo, Jacques Rougeau & Raymond Rougeau",01/15/1989,World Wrestling Federation,Best Two Out Of Three Falls Six Man Tag Team,WWF Royal Rumble 1989,Bret Hart,Jim Duggan,Jim Neidhart,Dino Bravo,Jacques Rougeau,Raymond Rougeau,n/a,n/a
1777,Judy Martin vs. Rockin' Robin,01/15/1989,World Wrestling Federation,Singles,WWF Royal Rumble 1989,Judy Martin,Rockin' Robin,n/a,n/a,n/a,n/a,n/a,n/a
1778,Ax & Smash vs. The Barbarian & The Warlord,01/14/1989,World Wrestling Federation,Tag Team,WWF on PRISM Network,Ax,Smash,The Barbarian,The Warlord,n/a,n/a,n/a,n/a
1779,Arn Anderson & Tully Blanchard vs. Marty Jannetty & Shawn Michaels,01/13/1989,World Wrestling Federation,Tag Team,WWF on NESN,Arn Anderson,Tully Blanchard,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1780,Lanny Poffo vs. Steve Lombardi,01/13/1989,World Wrestling Federation,Singles,WWF on NESN,Lanny Poffo,Steve Lombardi,n/a,n/a,n/a,n/a,n/a,n/a
1781,Boris Zhukov & Nikolai Volkoff vs. Butch & Luke,01/13/1989,World Wrestling Federation,Tag Team,WWF on NESN,Boris Zhukov,Nikolai Volkoff,Butch,Luke,n/a,n/a,n/a,n/a
1782,Akeem vs. The Blue Blazer,01/13/1989,World Wrestling Federation,Singles,WWF on NESN,Akeem,The Blue Blazer,n/a,n/a,n/a,n/a,n/a,n/a
1783,Greg Valentine vs. Ronnie Garvin,01/13/1989,World Wrestling Federation,Singles,WWF on NESN,Greg Valentine,Ronnie Garvin,n/a,n/a,n/a,n/a,n/a,n/a
1784,Dino Bravo vs. Jim Duggan,01/13/1989,World Wrestling Federation,Flag,WWF on NESN,Dino Bravo,Jim Duggan,n/a,n/a,n/a,n/a,n/a,n/a
1785,Hulk Hogan vs. The Big Boss Man,01/13/1989,World Wrestling Federation,Singles,WWF on NESN,Hulk Hogan,The Big Boss Man,n/a,n/a,n/a,n/a,n/a,n/a
1786,Boris Zhukov & Nikolai Volkoff vs. Butch & Luke,12/30/1988,World Wrestling Federation,Tag Team,WWF on MSG Network,Boris Zhukov,Nikolai Volkoff,Butch,Luke,n/a,n/a,n/a,n/a
1787,Barry Horowitz vs. Tim Horner,12/30/1988,World Wrestling Federation,Singles,WWF on MSG Network,Barry Horowitz,Tim Horner,n/a,n/a,n/a,n/a,n/a,n/a
1788,Bad News Brown vs. Randy Savage,12/30/1988,World Wrestling Federation,Singles,WWF on MSG Network,Bad News Brown,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1789,Arn Anderson & Tully Blanchard vs. Marty Jannetty & Shawn Michaels,12/17/1988,World Wrestling Federation,Tag Team,WWF on PRISM Network,Arn Anderson,Tully Blanchard,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1790,The Honky Tonk Man vs. The Ultimate Warrior,12/07/1988,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #19,The Honky Tonk Man,The Ultimate Warrior,n/a,n/a,n/a,n/a,n/a,n/a
1791,Brutus Beefcake vs. Ron Bass,12/07/1988,World Wrestling Federation,Hair Vs. Hair,WWF Saturday Night's Main Event #19,Brutus Beefcake,Ron Bass,n/a,n/a,n/a,n/a,n/a,n/a
1792,Akeem vs. Hulk Hogan,12/07/1988,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #19,Akeem,Hulk Hogan,n/a,n/a,n/a,n/a,n/a,n/a
1793,The Red Rooster vs. Tito Santana,12/07/1988,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #19,The Red Rooster,Tito Santana,n/a,n/a,n/a,n/a,n/a,n/a
1794,Arn Anderson & Tully Blanchard vs. Jim Powers & Paul Roma,11/17/1988,World Wrestling Federation,Tag Team,WWF on Z Channel,Arn Anderson,Tully Blanchard,Jim Powers,Paul Roma,n/a,n/a,n/a,n/a
1795,Danny Davis vs. The Blue Blazer,11/17/1988,World Wrestling Federation,Singles,WWF on Z Channel,Danny Davis,The Blue Blazer,n/a,n/a,n/a,n/a,n/a,n/a
1796,Barry Horowitz & Steve Lombardi vs. Marty Jannetty & Shawn Michaels,11/16/1988,World Wrestling Federation,Tag Team,WWF Wrestling Challenge #118,Barry Horowitz,Steve Lombardi,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1797,Andre The Giant vs. Randy Savage,11/16/1988,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #18,Andre The Giant,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1798,Hulk Hogan vs. King Haku,10/25/1988,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #17,Hulk Hogan,King Haku,n/a,n/a,n/a,n/a,n/a,n/a
1799,Jake Roberts vs. Rick Rude,10/25/1988,World Wrestling Federation,Singles,WWF Saturday Night's Main Event #17,Jake Roberts,Rick Rude,n/a,n/a,n/a,n/a,n/a,n/a
1800,Ax & Smash vs. Bret Hart & Jim Neidhart,10/25/1988,World Wrestling Federation,Tag Team,WWF Saturday Night's Main Event #17,Ax,Smash,Bret Hart,Jim Neidhart,n/a,n/a,n/a,n/a
1801,Andre The Giant vs. Randy Savage,10/24/1988,World Wrestling Federation,Singles,WWF on MSG Network,Andre The Giant,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1802,Ax & Smash vs. Marty Jannetty & Shawn Michaels,10/24/1988,World Wrestling Federation,Tag Team,WWF on MSG Network,Ax,Smash,Marty Jannetty,Shawn Michaels,n/a,n/a,n/a,n/a
1803,Jake Roberts vs. Rick Rude,10/24/1988,World Wrestling Federation,Singles,WWF on MSG Network,Jake Roberts,Rick Rude,n/a,n/a,n/a,n/a,n/a,n/a
1804,Hulk Hogan vs. King Haku,10/16/1988,World Wrestling Federation,Singles,WWF on Z Channel,Hulk Hogan,King Haku,n/a,n/a,n/a,n/a,n/a,n/a
1805,Ax & Smash vs. Davey Boy Smith & The Dynamite Kid,10/15/1988,World Wrestling Federation,Tag Team,WWF,Ax,Smash,Davey Boy Smith,The Dynamite Kid,n/a,n/a,n/a,n/a
1806,Andre The Giant vs. The Junkyard Dog,10/07/1988,World Wrestling Federation,Singles,WWF,Andre The Giant,The Junkyard Dog,n/a,n/a,n/a,n/a,n/a,n/a
1807,Don Muraco vs. Greg Valentine,10/07/1988,World Wrestling Federation,Singles,WWF,Don Muraco,Greg Valentine,n/a,n/a,n/a,n/a,n/a,n/a
1808,Ax & Smash vs. Davey Boy Smith & The Dynamite Kid,10/07/1988,World Wrestling Federation,Tag Team,WWF,Ax,Smash,Davey Boy Smith,The Dynamite Kid,n/a,n/a,n/a,n/a
1809,Akeem vs. Randy Savage,10/07/1988,World Wrestling Federation,Singles,WWF,Akeem,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1810,Rockin' Robin vs. Sensational Sherri,10/07/1988,World Wrestling Federation,Singles,WWF,Rockin' Robin,Sensational Sherri,n/a,n/a,n/a,n/a,n/a,n/a
1811,Barry Horowitz vs. Lanny Poffo,10/07/1988,World Wrestling Federation,Singles,WWF,Barry Horowitz,Lanny Poffo,n/a,n/a,n/a,n/a,n/a,n/a
1812,Andre The Giant vs. Randy Savage,09/29/1988,World Wrestling Federation,Singles,WWF on MSG Network,Andre The Giant,Randy Savage,n/a,n/a,n/a,n/a,n/a,n/a
1813,King Haku vs. The Junkyard Dog,09/29/1988,World Wrestling Federation,Singles,WWF on MSG Network,King Haku,The Junkyard Dog,n/a,n/a,n/a,n/a,n/a,n/a
1814,Randy Savage vs. Ted DiBiase,09/24/1988,World Wrestling Federation,Steel Cage,WWF on PRISM Network,Randy Savage,Ted DiBiase,n/a,n/a,n/a,n/a,n/a,n/a
