,Match,Date,Promotion,Match Type,Event,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8
63,Debra & Jeff Jarrett vs. Nicole Bass & Val Venis,05/23/1999,World Wrestling Federation,Mixed Tag Team,WWF Over The Edge 1999,Debra,Jeff Jarrett,Nicole Bass,Val Venis,n/a,n/a,n/a,n/a
64,Al Snow vs. Hardcore Holly,05/23/1999,World Wrestling Federation,Singles,WWF Over The Edge 1999,Al Snow,Hardcore Holly,n/a,n/a,n/a,n/a,n/a,n/a
65,D-Lo Brown & Mark Henry vs. Kane & X-Pac,05/23/1999,World Wrestling Federation,Tag Team,WWF Over The Edge 1999,D-Lo Brown,Mark Henry,Kane,X-Pac,n/a,n/a,n/a,n/a
66,The Rock vs. Triple H,05/23/1999,World Wrestling Federation,Singles,WWF Over The Edge 1999,The Rock,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
67,Steve Austin vs. The Undertaker,05/23/1999,World Wrestling Federation,Singles,WWF Over The Edge 1999,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
68,Mr. Ass vs. The Road Dogg,05/23/1999,World Wrestling Federation,Singles,WWF Over The Edge 1999,Mr. Ass,The Road Dogg,n/a,n/a,n/a,n/a,n/a,n/a
69,"Bradshaw, Faarooq, The Big Bossman & Viscera vs. Ken Shamrock, Mankind, Test & The Big Show",05/23/1999,World Wrestling Federation,Eight Man Tag Team Elimination,WWF Over The Edge 1999,Bradshaw,Faarooq,The Big Bossman,Viscera,Ken Shamrock,Mankind,Test,The Big Show
70,Steve Austin vs. The Undertaker vs. Triple H,05/16/1999,World Wrestling Federation,Triple Threat,WWF No Mercy 1999,Steve Austin,The Undertaker,Triple H,n/a,n/a,n/a,n/a,n/a
71,Droz vs. Steve Blackman,05/16/1999,World Wrestling Federation,Singles,WWF No Mercy 1999,Droz,Steve Blackman,n/a,n/a,n/a,n/a,n/a,n/a
72,"Bradshaw, Faarooq & Viscera vs. Christian, Edge & Gangrel",05/16/1999,World Wrestling Federation,Six Man Tag Team,WWF No Mercy 1999,Bradshaw,Faarooq,Viscera,Christian,Edge,Gangrel,n/a,n/a
73,Shane McMahon vs. X-Pac,05/16/1999,World Wrestling Federation,Singles,WWF No Mercy 1999,Shane McMahon,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
74,Mankind vs. Mr. Ass,05/16/1999,World Wrestling Federation,Singles,WWF No Mercy 1999,Mankind,Mr. Ass,n/a,n/a,n/a,n/a,n/a,n/a
75,"Christian, Edge & Gangrel vs. Jeff Hardy, Matt Hardy & Michael Hayes",05/11/1999,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #312,Christian,Edge,Gangrel,Jeff Hardy,Matt Hardy,Michael Hayes,n/a,n/a
76,"Billy Gunn, D-Lo Brown & Mark Henry vs. Kane, The Road Dogg & X-Pac",05/11/1999,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #312,Billy Gunn,D-Lo Brown,Mark Henry,Kane,The Road Dogg,X-Pac,n/a,n/a
77,Meat vs. Test,05/11/1999,World Wrestling Federation,Singles,WWF RAW is WAR #312,Meat,Test,n/a,n/a,n/a,n/a,n/a,n/a
78,Steve Austin vs. Triple H,05/11/1999,World Wrestling Federation,Singles,WWF RAW is WAR #312,Steve Austin,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
79,Billy Gunn vs. Kane,05/10/1999,World Wrestling Federation,Singles,WWF RAW is WAR #311,Billy Gunn,Kane,n/a,n/a,n/a,n/a,n/a,n/a
80,Test vs. The Big Bossman,05/10/1999,World Wrestling Federation,Coal Miner's Nightstick,WWF RAW is WAR #311,Test,The Big Bossman,n/a,n/a,n/a,n/a,n/a,n/a
81,Jeff Jarrett vs. Val Venis,05/10/1999,World Wrestling Federation,Singles,WWF RAW is WAR #311,Jeff Jarrett,Val Venis,n/a,n/a,n/a,n/a,n/a,n/a
82,Billy Gunn vs. X-Pac,05/02/1999,World Wrestling Federation,Singles,WWF RAW is WAR #310,Billy Gunn,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
83,Bradshaw & Faarooq vs. Mankind,05/02/1999,World Wrestling Federation,Two On One Handicap Hardcore,WWF RAW is WAR #310,Bradshaw,Faarooq,Mankind,n/a,n/a,n/a,n/a,n/a
84,Ken Shamrock vs. Triple H,05/02/1999,World Wrestling Federation,Singles,WWF RAW is WAR #310,Ken Shamrock,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
85,Kane & X-Pac vs. Mr. Ass & The Road Dogg,04/27/1999,World Wrestling Federation,Tag Team,WWF SmackDown #1,Kane,X-Pac,Mr. Ass,The Road Dogg,n/a,n/a,n/a,n/a
86,Steve Austin & The Rock vs. The Undertaker & Triple H,04/27/1999,World Wrestling Federation,Tag Team,WWF SmackDown #1,Steve Austin,The Rock,The Undertaker,Triple H,n/a,n/a,n/a,n/a
